"id","name","team","height","weight","year","position","hometown","state","country","latitude","longitude","formatted_height","stars"
4685381,"Emmanuel Henderson Jr.","Alabama","73.0","187.0","3","WR","Hartford","AL","USA","31.101967","-85.697765","6'1""","5"
4685408,"Will Johnson","Michigan","74.0","202.0","3","DB","Detroit","MI","USA","42.331551","-83.046640","6'2""","5"
4685410,"Austin Jordan","Texas","72.0","198.0","3","DB","Denton","TX","USA","33.183879","-97.141342","6'0""","4"
4685422,"Kody Jones","Michigan","71.0","193.0","3","DB","Memphis","TN","USA","35.146025","-90.051764","5'11""","4"
4685437,"Earl Little Jr.","Alabama","73.0","186.0","2","DB","Fort Lauderdale","FL","USA","26.122308","-80.143379","6'1""","4"
4685441,"Kendrick Law","Alabama","71.0","209.0","3","WR","Shreveport","LA","USA","32.513536","-93.747784","5'11""","4"
4685461,"Derrick Moore","Michigan","75.0","256.0","3","DE","Baltimore","MD","USA","39.290882","-76.610759","6'3""","5"
4685464,"Tyler Morris","Michigan","71.0","185.0","3","WR","Bolingbrook","IL","USA","41.700330","-88.071771","5'11""","4"
4685477,"Jam Miller","Alabama","70.0","218.0","3","RB","Tyler","TX","USA","32.351260","-95.301062","5'10""","4"
4685487,"Jehiem Oatis","Alabama","77.0","325.0","3","DL","Columbia","MS","USA","31.251858","-89.835310","6'5""","5"
4685495,"Alex Orji","Michigan","75.0","235.0","3","QB","Sachse","TX","USA","32.976233","-96.595270","6'3""","3"
4685497,"Maalik Murphy","Texas","77.0","230.0","2","QB","Inglewood","CA","USA","33.956200","-118.353132","6'5""","4"
4685500,"Shawn Murphy","Alabama","74.0","230.0","2","LB","Manassas","VA","USA","38.750949","-77.475267","6'2""","5"
4685505,"Khurtiss Perry","Alabama","74.0","265.0","2","DL","Pike Road","AL","USA","32.284308","-86.103017","6'2""","5"
4685506,"Ryan Otton","Washington","78.0","257.0","2","TE","Tumwater","WA","USA","47.008066","-122.910368","6'6""","4"
4685507,"Keon Sabb","Michigan","73.0","206.0","2","DB","Glassboro","NJ","USA","39.702768","-75.111943","6'1""","4"
4685516,"Shazz Preston","Alabama","72.0","206.0","2","WR","Saint James","LA","USA","30.009668","-90.798953","6'0""","5"
4685519,"Elijah Pritchett","Alabama","78.0","327.0","2","OL","Columbus","GA","USA","32.461071","-84.988045","6'6""","5"
4685522,"Ty Simpson","Alabama","74.0","215.0","2","QB","Martin","TN","USA","36.343278","-88.850351","6'2""","5"
4685535,"CJ Stokes","Michigan","70.0","205.0","2","RB","Columbia","SC","USA","34.000312","-81.033131","5'10""","3"
4685575,"J'Mond Tapp","Texas","75.0","266.0","2","DL","Donaldsonville","LA","USA","30.105194","-90.987592","6'3""","4"
4685590,"Cameron Williams","Texas","77.0","335.0","3","OL","Duncanville","TX","USA","32.651800","-96.908337","6'5""","4"
4685591,"Larry Turner-Gooden","Texas","71.0","212.0","2","S","Los Angeles","CA","USA","34.053691","-118.242766","5'11""","4"
4685723,"Roydell Williams","Alabama","70.0","214.0","4","RB","Hueytown","AL","USA","33.451220","-86.996661","5'10""","4"
4685735,"Cole Hutson","Texas","77.0","310.0","3","OL","Frisco","TX","USA","33.150600","-96.823818","6'5""","4"
4685737,"Neto Umeozulu","Texas","76.0","330.0","2","OL","Allen","TX","USA","33.103174","-96.670550","6'4""","4"
4686332,"Zac Swanson","Texas","76.0","282.0","2","DL","Phoenix","AZ","USA","33.448437","-112.074141","6'4""","4"
4686728,"Gunnar Helm","Texas","77.0","250.0","4","TE","Englewood","CO","USA","39.648206","-104.987964","6'5""","3"
4689338,"Dillon Johnson","Washington","72.0","218.0","3","RB","Greenville","MS","USA","33.411105","-91.063586","6'0""","3"
4690298,"Jake Thaw","Michigan","73.0","192.0","4","WR","Westport","CT","USA","41.141486","-73.357896","6'1""","0"
4690299,"Christian Bartholomew","Michigan","72.0","187.0","4","WR","Galesburg","MI","USA","42.288653","-85.418056","6'0""","0"
4690300,"Will Rolapp","Michigan","72.0","198.0","4","WR","Darien","CT","USA","41.078708","-73.469287","6'0""","0"
4690303,"Joshua Luther","Michigan","69.0","182.0","4","DB","Clarkston","MI","USA","42.735863","-83.418830","5'9""","0"
4690304,"Greg Tarr","Michigan","74.0","215.0","4","LS","Washington","MI","USA","42.302169","-83.257153","6'2""","0"
4690305,"Jerome Nichols","Michigan","72.0","235.0","4","LB","Belleville","MI","USA","42.204841","-83.485211","6'0""","0"
4690306,"Noah Stewart","Michigan","79.0","292.0","4","OL","Muskegon","MI","USA","43.234181","-86.248392","6'7""","3"
4690811,"Savion Red","Texas","70.0","214.0","3","RB","Grand Prairie","TX","USA","32.745965","-96.997785","5'10""","3"
4690975,"Tannahill Love","Texas","71.0","225.0","4","LB","Fort Worth","TX","USA","32.753177","-97.332746","5'11""","0"
4690976,"Paxton Anderson","Texas","76.0","213.0","4","WR","Dallas","TX","USA","32.776272","-96.796856","6'4""","0"
4691142,"Vincent Nunley","Washington","73.0","187.0","2","S","Oakland","CA","USA","37.804456","-122.271356","6'1""","0"
